Title,Entry_ID
Multivariate Wasserstein Functional Connectivity for Autism Screening,http://arxiv.org/abs/2209.11703v1
Personalised Robot Behaviour Modelling for Robot-Assisted Therapy in the Context of Autism Spectrum Disorder,http://arxiv.org/abs/2207.12144v1
Personalized Behaviour Models: A Survey Focusing on Autism Therapy Applications,http://arxiv.org/abs/2205.08975v1
Using consumer feedback from location-based services in PoI recommender systems for people with autism,http://arxiv.org/abs/2204.09969v1
Attention-Based Applications in Extended Reality to Support Autistic Users: A Systematic Review,http://arxiv.org/abs/2204.00719v1
"Sugar, Salt & Pepper -- Humanoid robotics for autism",http://arxiv.org/abs/2203.07543v1
Autistic Children's Mental Model of an Humanoid Robot,http://arxiv.org/abs/2203.07538v1
Improving the Level of Autism Discrimination through GraphRNN Link Prediction,http://arxiv.org/abs/2202.09538v1
Uncertainty in fMRI Functional Networks of Autism Brain Imaging Data,http://arxiv.org/abs/2202.02228v1
"Evaluation of data imputation strategies in complex, deeply-phenotyped data sets: the case of the EU-AIMS Longitudinal European Autism Project",http://arxiv.org/abs/2201.09753v1
Can viewer proximity be a behavioural marker for Autism Spectrum Disorder?,http://arxiv.org/abs/2111.04064v3
Evaluation of augmentation methods in classifying autism spectrum disorders from fMRI data with 3D convolutional neural networks,http://arxiv.org/abs/2110.10489v1
Classification of Abnormal Hand Movement for Aiding in Autism Detection: Machine Learning Study,http://arxiv.org/abs/2108.07917v6
Designing Mobile EEG Neurofeedback Games for Children with Autism: Implications from Industry Practice,http://arxiv.org/abs/2107.10910v1
eXtended Reality for Autism Interventions: The importance of Mediation and Sensory-Based Approaches,http://arxiv.org/abs/2106.15983v1
Autism Spectrum Disorder Screening Using Discriminative Brain Sub-Networks: An Entropic Approach,http://arxiv.org/abs/2103.13850v1
AI-Augmented Behavior Analysis for Children with Developmental Disabilities: Building Towards Precision Treatment,http://arxiv.org/abs/2102.10635v2
Teaching Turn-Taking Skills to Children with Autism using a Parrot-Like Robot,http://arxiv.org/abs/2101.12273v1
Developing emotion recognition for video conference software to support people with autism,http://arxiv.org/abs/2101.10785v1
Activity Recognition with Moving Cameras and Few Training Examples: Applications for Detection of Autism-Related Headbanging,http://arxiv.org/abs/2101.03478v1
Fader Networks for domain adaptation on fMRI: ABIDE-II study,http://arxiv.org/abs/2010.07233v1
Diagnosis of Autism in Children using Facial Analysis and Deep Learning,http://arxiv.org/abs/2008.02890v1
Gaze-based Autism Detection for Adolescents and Young Adults using Prosaic Videos,http://arxiv.org/abs/2005.12951v1
Single-participant structural connectivity matrices lead to greater accuracy in classification of participants than function in autism in MRI,http://arxiv.org/abs/2005.08035v2
Social Engagement of Children with Autism during Interaction with a Robot,http://arxiv.org/abs/2002.12360v1
Designing a Holistic At-Home Learning Aid for Autism,http://arxiv.org/abs/2002.04263v1
Designing Accessible Visual Programming Tools for Children with Autism Spectrum Condition,http://arxiv.org/abs/1911.07624v1
Guided Weak Supervision for Action Recognition with Scarce Data to Assess Skills of Children with Autism,http://arxiv.org/abs/1911.04140v3
Prediction of gaze direction using Convolutional Neural Networks for Autism diagnosis,http://arxiv.org/abs/1911.05629v1
Heat kernels with functional connectomes reveal atypical energy transport in peripheral subnetworks in autism,http://arxiv.org/abs/1908.09117v2
Simple 1-D Convolutional Networks for Resting-State fMRI Based Classification in Autism,http://arxiv.org/abs/1907.01288v1
"""Tom"" pet robot applied to urban autism",http://arxiv.org/abs/1905.05652v1
Detecting Gaze Towards Eyes in Natural Social Interactions and its Use in Child Assessment,http://arxiv.org/abs/1902.00607v1
Covariance-based sample selection for heterogeneous data: Applications to gene expression and autism risk gene detection,http://arxiv.org/abs/1812.08147v2
Logistic Regression Augmented Community Detection for Network Data with Application in Identifying Autism-Related Gene Pathways,http://arxiv.org/abs/1809.02262v1
Using Applied Behavior Analysis in Software to help Tutor Individuals with Autism Spectrum Disorder,http://arxiv.org/abs/1808.02778v1
Disease Prediction using Graph Convolutional Networks: Application to Autism Spectrum Disorder and Alzheimer's Disease,http://arxiv.org/abs/1806.01738v1
Applications for mobile devices focused on support for autism spectrum disorder population and / or people in their immediate environment in their daily lives: a systematic and practical review from a Spanish - speaking perspective,http://arxiv.org/abs/1806.01041v1
Personalized Machine Learning for Robot Perception of Affect and Engagement in Autism Therapy,http://arxiv.org/abs/1802.01186v2
Auditory Brainstem Response in Infants and Children with Autism: A Meta-Analysis,http://arxiv.org/abs/1710.03613v1
Deep Learning for Automatic Stereotypical Motor Movement Detection using Wearable Sensors in Autism Spectrum Disorders,http://arxiv.org/abs/1709.05956v1
Machine learning approach for early detection of autism by combining questionnaire and home video screening,http://arxiv.org/abs/1703.06076v1
Deriving reproducible biomarkers from multi-site resting-state data: An Autism-based example,http://arxiv.org/abs/1611.06066v1
A multilayer reactive system for robots interacting with children with autism,http://arxiv.org/abs/1606.03875v1
A New Local Score Based Method Applied to Behavior-divergent Quail Lines Sequenced in Pools Precisely Detects Selection Signatures on Genes Related to Autism,http://arxiv.org/abs/1507.06433v1
Overcoming data scarcity of Twitter: using tweets as bootstrap with application to autism-related topic content analysis,http://arxiv.org/abs/1507.02973v1
Network assisted analysis to reveal the genetic basis of autism,http://arxiv.org/abs/1506.00728v3
Computer-mediated communication in adults with high-functioning Autism Spectrum Conditions,http://arxiv.org/abs/1410.1087v1
Cell-type-specific neuroanatomy of brain-wide expression of autism-related genes,http://arxiv.org/abs/1408.2463v1
The state of play of ASC-Inclusion: An Integrated Internet-Based Environment for Social Inclusion of Children with Autism Spectrum Conditions,http://arxiv.org/abs/1403.5912v1
Why robots? A survey on the roles and benefits of social robots in the therapy of children with autism,http://arxiv.org/abs/1311.0352v1
Reduced interhemispheric functional connectivity of children with autism: evidence from functional near infrared spectroscopy studies,http://arxiv.org/abs/1309.5840v1
Anxiety as a Factor in the Development of Autistic Spectrum Symptoms: an Experimental Study,http://arxiv.org/abs/1005.0228v1
"Cognitive styles sex the brain, compete neurally, and quantify deficits in autism",http://arxiv.org/abs/q-bio/0412002v1
